date,bitcoin_price,bitcoin_vol.
17-06-2022,"20,444.60",136270.0
16-06-2022,"20,386.60",144000.0
15-06-2022,"22,577.90",280410.0
14-06-2022,"22,157.30",251010.0
13-06-2022,"22,448.00",379260.0
10-06-2022,"29,083.30",104260.0
09-06-2022,"30,097.80",61720.0
08-06-2022,"30,201.60",87960.0
07-06-2022,"31,128.80",140320.0
06-06-2022,"31,367.60",94010.0
03-06-2022,"29,700.90",72130.0
02-06-2022,"30,455.50",81400.0
01-06-2022,"29,798.50",135090.0
27-05-2022,"28,601.20",116410.0
26-05-2022,"29,203.50",126710.0
25-05-2022,"29,540.60",78850.0
24-05-2022,"29,648.70",79420.0
23-05-2022,"29,093.30",92100.0
20-05-2022,"29,178.60",98780.0
19-05-2022,"30,305.90",101380.0
18-05-2022,"28,683.70",92030.0
17-05-2022,"30,437.50",79630.0
16-05-2022,"29,849.00",100250.0
13-05-2022,"29,284.40",141230.0
12-05-2022,"28,976.00",309480.0
11-05-2022,"29,068.20",296900.0
10-05-2022,"31,007.50",235610.0
09-05-2022,"30,095.00",268090.0
06-05-2022,"36,009.00",752840000.0
05-05-2022,"36,544.00",1040000000.0
04-05-2022,"39,688.00",691490000.0
03-05-2022,"37,718.00",367210000.0
02-05-2022,"38,514.00",580790000.0
29-04-2022,"38,581.00",382900000.0
28-04-2022,"39,748.00",542390000.0
27-04-2022,"39,243.00",426830000.0
26-04-2022,"38,113.00",681470000.0
25-04-2022,"40,427.00",654600000.0
22-04-2022,"39,709.00",421300000.0
21-04-2022,"40,482.00",493050000.0
20-04-2022,"41,368.00",382840000.0
19-04-2022,"41,503.00",268280000.0
18-04-2022,"40,803.00",484260000.0
14-04-2022,"39,936.00",294290000.0
13-04-2022,"41,133.00",406700000.0
12-04-2022,"40,078.00",468270000.0
11-04-2022,"39,497.00",608380000.0
08-04-2022,"42,275.00",467830000.0
07-04-2022,"43,448.00",390850000.0
06-04-2022,"43,173.00",649520000.0
05-04-2022,"45,506.00",421110000.0
04-04-2022,"46,629.00",446120000.0
01-04-2022,"46,297.00",632930000.0
